id,title,steamAppId,steamUrl,opencriticScore,hltbMain,hltbExtra,hltbCompletionist,releaseDate,genres,platforms,studio,steamReviewScore,steamReviewCount,steamReviewPercent,isDlc
100826,Super Chibi Knight,283080,https://store.steampowered.com/app/283080/,70,139.0,277.0,721.0,2015-06-24T00:00:00.000Z,"[""Action"", ""Platformer"", ""Classic"", ""Cute"", ""2D"", ""Side Scroller"", ""Adventure"", ""Indie"", ""Family Friendly"", ""RPG"", ""Hack and Slash"", ""Singleplayer"", ""Action RPG"", ""Female Protagonist""]","[{""name"": ""PC""}]",PestoForce,Very Positive,382.0,86.0,False
100827,Art Academy: Home Studio,,,85,118.0,,,2015-06-25T00:00:00.000Z,"[""Creation"", ""Art""]","[{""name"": ""Wii U""}]",Nintendo,,,,False
100828,Dreamfall Chapters Book Three: Realms,,,82,228.0,235.0,406.0,2015-06-25T00:00:00.000Z,"[""Interactive Story""]","[{""name"": ""PC""}]",Red Thread Games,,,,False
100829,Lethis - Path of Progress,359230,https://store.steampowered.com/app/359230/,53,1696.0,2100.0,3381.0,2015-06-25T00:00:00.000Z,"[""Great Soundtrack"", ""Simulation"", ""City Builder"", ""Soundtrack"", ""Sandbox"", ""Building"", ""2D"", ""Isometric"", ""Indie"", ""Steampunk"", ""Singleplayer"", ""Strategy"", ""Management"", ""Puzzle"", ""Resource Management"", ""Pixel Graphics""]","[{""name"": ""PC""}, {""name"": ""Nintendo Switch""}]",Triskell Interactive,Mixed,1088.0,68.0,False
100830,BlazBlue: Chrono Phantasma Extend,,,79,733.0,2205.0,3892.0,2015-06-30T00:00:00.000Z,"[""Fighting""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","Arc System Works, Aksys Games",,,,False
100831,Infinifactory,300570,https://store.steampowered.com/app/300570/,74,2184.0,3286.0,3948.0,2015-06-30T00:00:00.000Z,"[""Great Soundtrack"", ""Simulation"", ""Creation"", ""Sci-fi"", ""Sandbox"", ""Building"", ""Programming"", ""Logic"", ""Automation"", ""Space"", ""Indie"", ""Soundtrack"", ""Difficult"", ""First-Person"", ""Singleplayer"", ""Strategy"", ""Puzzle""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Zachtronics,Overwhelmingly Positive,1753.0,95.0,False
100832,J-Stars Victory Vs+,,,62,516.0,751.0,1582.0,2015-06-30T00:00:00.000Z,"[""Fighting""]","[{""name"": ""PlayStation 4""}, {""name"": ""PlayStation 5""}]",Bandai Namco Games,,,,False
100833,Red Goddess: Inner World,322440,https://store.steampowered.com/app/322440/,51,244.0,,,2015-09-01T00:00:00.000Z,"[""Metroidvania"", ""Action"", ""Platformer"", ""Adventure"", ""Indie"", ""Fast-Paced"", ""Exploration"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Yanim Studio,Mostly Negative,31.0,38.0,False
100834,RONIN,274230,https://store.steampowered.com/app/274230/,71,,,,2015-06-30T00:00:00.000Z,"[""Stealth"", ""Turn-Based Tactics"", ""Turn-Based"", ""Turn-Based Combat"", ""Action"", ""Great Soundtrack"", ""Platformer"", ""Turn-Based Strategy"", ""Soundtrack"", ""Cyberpunk"", ""2D"", ""Difficult"", ""Indie"", ""Ninja"", ""Singleplayer"", ""Puzzle"", ""Combat"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",Tomasz Wacławek,Mostly Positive,1569.0,71.0,False
100835,Anna's Quest,327220,https://store.steampowered.com/app/327220/,75,591.0,672.0,691.0,2015-07-02T00:00:00.000Z,"[""Comedy"", ""Atmospheric"", ""Dark"", ""Hand-drawn"", ""Cute"", ""Point & Click"", ""2D"", ""Funny"", ""Adventure"", ""Fantasy"", ""Indie"", ""Singleplayer"", ""Puzzle"", ""Horror"", ""Female Protagonist"", ""Story Rich"", ""Psychological""]","[{""name"": ""PC""}]",Daedalic Entertainment,Very Positive,1672.0,87.0,False
100836,Ar no Surge Plus: Ode to an Unborn Star,,,78,2187.0,3565.0,4008.0,2015-07-02T00:00:00.000Z,"[""RPG""]","[{""name"": ""PlayStation Vita""}]",Tecmo Koei Games,,,,False
100837,Legends of Eisenwald,246760,https://store.steampowered.com/app/246760/,70,1419.0,2445.0,4800.0,2015-07-02T00:00:00.000Z,"[""Tactical RPG"", ""Third Person"", ""Multiple Endings"", ""Character Customization"", ""Difficult"", ""Adventure"", ""Inventory Management"", ""Historical"", ""Choices Matter"", ""Turn-Based"", ""Turn-Based Strategy"", ""Medieval"", ""RPG"", ""Strategy"", ""Management"", ""Turn-Based Combat"", ""3D"", ""Combat"", ""Choose Your Own Adventure"", ""Story Rich"", ""Level Editor"", ""Strategy RPG"", ""Tactical""]","[{""name"": ""PC""}]",Aterdux Entertainment,Mostly Positive,1367.0,76.0,False
100838,Roving Rogue,,,54,,,,2015-07-02T00:00:00.000Z,"[""Platformer""]","[{""name"": ""Wii U""}]",Padaone Games,,,,False
100839,Vector Thrust,242130,https://store.steampowered.com/app/242130/,47,,,,2015-07-02T00:00:00.000Z,"[""Multiplayer"", ""Simulation"", ""Action"", ""Flight"", ""Shooter"", ""Indie"", ""Arcade"", ""Singleplayer"", ""Jet""]","[{""name"": ""PC""}]",TimeSymmetry,Mixed,568.0,50.0,False
100840,Rocket League,252950,https://store.steampowered.com/app/252950/,87,310.0,1849.0,9340.0,2015-07-07T00:00:00.000Z,"[""Action"", ""America"", ""Indie"", ""Soccer"", ""Multiplayer"", ""Split Screen"", ""Local Multiplayer"", ""Sports"", ""Football"", ""Racing"", ""Casual"", ""Co-op"", ""Online Co-Op"", ""Singleplayer"", ""Fast-Paced"", ""4 Player Local"", ""Great Soundtrack"", ""Team-Based"", ""Soundtrack"", ""Funny"", ""Competitive"", ""eSports"", ""Local Co-Op""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Psyonix LLC,Very Positive*,225449.0,86.0,False
100841,Skullgirls 2nd Encore,245170,https://store.steampowered.com/app/245170/,81,210.0,1336.0,2707.0,2013-08-22T00:00:00.000Z,"[""Action"", ""Stylized"", ""Indie"", ""Noir"", ""Crowdfunded"", ""Controller"", ""Fighting"", ""Multiplayer"", ""Local Multiplayer"", ""2D Fighter"", ""Arcade"", ""2D"", ""Lore-Rich"", ""Cartoon"", ""Singleplayer"", ""Story Rich"", ""Hand-drawn"", ""Anime"", ""Competitive"", ""Female Protagonist""]","[{""name"": ""PlayStation 4""}, {""name"": ""PlayStation 5""}]",Hidden Variable Studios,Very Positive*,11740.0,87.0,False
100842,Gunpowder,375170,https://store.steampowered.com/app/375170/,78,859.0,,,2015-07-08T00:00:00.000Z,"[""Casual"", ""Puzzle"", ""Action"", ""Indie""]","[{""name"": ""PC""}]",Rogue Rocket Games,Positive,21.0,95.0,False
100843,Sword and Fairy 6,681810,https://store.steampowered.com/app/681810/,43,1900.0,2731.0,,2015-07-08T00:00:00.000Z,,"[{""name"": ""PlayStation 4""}, {""name"": ""PC""}, {""name"": ""PlayStation 5""}]",SOFTSTAR ENTERTAINMENT INC.,,,,False
100844,Draw a Stickman: EPIC 2,403180,https://store.steampowered.com/app/403180/,77,129.0,300.0,330.0,2015-11-06T00:00:00.000Z,"[""Creation"", ""Hand-drawn"", ""Adventure"", ""Indie"", ""Casual"", ""Singleplayer"", ""Puzzle"", ""Fighting""]","[{""name"": ""PC""}, {""name"": ""Nintendo Switch""}]",Hitcents,Very Positive,917.0,87.0,False
