ID,OpenCriticTitle,SteamTitle,SteamURL,SteamReviewsRating,SteamReviewsNum,SteamReviewsPercent,SteamReleaseDate,SteamDeveloper(s),SteamPublisher(s),SteamTags,SteamDLC,SteamDelisted
107096,LEGO Bricktales,LEGO® Bricktales,https://store.steampowered.com/app/1898290/,Very Positive,1314,85,12/10/2022,ClockStone,Thunderful Publishing,"Adventure, Casual, Puzzle, Building, Sandbox, 3D, Colorful, Isometric, Top-Down, Atmospheric, Family Friendly, Physics, Singleplayer, LEGO, Design & Illustration, Funny, Relaxing, Comedy, Controller",FALSE,FALSE
107099,Stranded: Alien Dawn,Stranded: Alien Dawn,https://store.steampowered.com/app/1324130/,Very Positive*,5097,83,25/4/2023,Haemimont Games,Paradox Interactive,"Simulation, Strategy, Base Building, Building, Management, Survival, Colony Sim, 3D, Destruction, Sci-fi, Space, Choices Matter, Combat, Crafting, Hunting, Inventory Management, Resource Management, Tutorial, Singleplayer",FALSE,FALSE
107100,Unusual Findings,Unusual Findings,https://store.steampowered.com/app/1605320/,Very Positive,323,87,12/10/2022,Epic Llama Games,ESDigital Games,"Adventure, Puzzle, Hidden Object, Point & Click, 2D, Colorful, Pixel Graphics, Third Person, America, Atmospheric, Family Friendly, Mystery, Old School, Sci-fi, Choices Matter, Conversation, Multiple Endings, Nonlinear, Story Rich, Comedy",FALSE,FALSE
107101,Alina of the Arena,Alina of the Arena,https://store.steampowered.com/app/1668690/,Very Positive*,988,92,13/10/2022,PINIX,"PINIX, IndieArk","RPG, Strategy, Card Game, Roguelike, Turn-Based Strategy, Card Battler, Roguelite, Turn-Based Tactics, Anime, Pixel Graphics, Dark, Dark Fantasy, Fantasy, Deckbuilding, Hex Grid, Female Protagonist, Singleplayer, Indie, Turn-Based, Difficult, Early Access",FALSE,FALSE
107102,Asterix & Obelix XXXL: The Ram From Hibernia,Asterix & Obelix XXXL : The Ram From Hibernia,https://store.steampowered.com/app/1894730/,Mostly Negative,31,38,27/10/2022,OSome Studio,Microids,"Action, Adventure, Casual, Action-Adventure, Arcade, Platformer, 3D Platformer, Beat 'em up, Hack and Slash, 3D, Anime, Cartoon, Colorful, Comic Book, Cute, Rome, Combat, PvE, 4 Player Local, Co-op, Local Co-Op",FALSE,FALSE
107103,ASTLIBRA Revision,ASTLIBRA ～生きた証～ Revision,https://store.steampowered.com/app/1718570/,Overwhelmingly Positive*,2936,95,13/10/2022,KEIZO,WhisperGames,"Action, Adventure, RPG, Action RPG, JRPG, Metroidvania, Side Scroller, Spectacle fighter, 2D, Demons, Dragons, Fantasy, Futuristic, Gothic, Modern, Mythology, Supernatural, Swordplay, Time Travel, Drama, Mod",FALSE,FALSE
107104,Atari Mania,Atari Mania,https://store.steampowered.com/app/1911800/,Mixed,34,61,13/10/2022,Studios iLLOGIKA,Atari,"Action, Adventure, Arcade, Exploration, Interactive Fiction, Point & Click, Pixel Graphics, 1980s, 1990's, Dark, Old School, Retro, Story Rich, Comedy, Dark Comedy",FALSE,FALSE
107105,CULTIC,CULTIC,https://store.steampowered.com/app/1684930/,Overwhelmingly Positive*,5079,98,13/10/2022,Jasozz Games,3D Realms,"Action, Shooter, FPS, Horror, 3D, First-Person, Pixel Graphics, Stylized, Dark, Lovecraftian, Old School, Retro, Combat, Physics, PvE, Singleplayer, Indie, Gore, Violent",FALSE,FALSE
107106,Fueled Up,Fueled Up,https://store.steampowered.com/app/1488430/,Mostly Positive,85,74,13/10/2022,Fireline Games,"Fireline Games, Gamirror Games","Action, Casual, Arcade, Colorful, Cute, Stylized, Family Friendly, Sci-fi, Space, 4 Player Local, Co-op, Co-op Campaign, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, Indie, Funny, Controller",FALSE,FALSE
107107,Lost Eidolons,Lost Eidolons,https://store.steampowered.com/app/1580520/,Mostly Positive,1524,71,13/10/2022,"Ocean Drive Studio,  Inc.","Ocean Drive Studio,  Inc.","RPG, Strategy, Party-Based RPG, Strategy RPG, Turn-Based Strategy, JRPG, Tactical RPG, Turn-Based Tactics, Historical, Tactical, War, Combat, Perma Death, Story Rich, Turn-Based Combat, Singleplayer, Soundtrack, Turn-Based, Crowdfunded, Kickstarter",FALSE,FALSE
