=== RAPPORT ANALYSE V24 FINAL (Optimized) ===

Global MAE: 6.63h
Global Precision: 33.96%

     Genre       MAE  Precision  Count
 SoulsLike 12.993228  50.639208      4
   Shooter  4.408098  46.226345     93
Platformer  3.091314  38.813981     20
  Strategy 10.161679  25.230831    139
       RPG  8.823553  24.602401    173
   3D Plat  4.388828  18.635434     10
      JRPG 12.452270   0.000000     30

Title                          | Act    | Pred   | Diff   | St | JRPG | Sls
Gunfire Reborn                 | 14.6   | 16.2   | +1.6   | ⚠️ |        | 
Tom Clancy's Ghost Recon: Wild | 27.3   | 28.0   | +0.7   | ✅ |        | 
Half-Life: Alyx                | 12.4   | 14.6   | +2.2   | ⚠️ |        | 
House Flipper                  | 12.9   | 11.8   | -1.1   | ✅ |        | 
Subnautica: Below Zero         | 20.6   | 10.8   | -9.8   | ❌ |        | 
Wuchang: Fallen Feathers       | 30.6   | 30.9   | +0.2   | ✅ |        | YES
This War of Mine               | 11.3   | 9.5    | -1.8   | ⚠️ |        | 
Firewatch                      | 4.1    | 6.1    | +2.0   | ❌ |        | 
Yu-Gi-Oh! Master Duel          | 47.9   | 26.4   | -21.6  | ❌ |        | 
The Last of Us Part I          | 14.5   | 15.9   | +1.4   | ✅ |        | 
Tekken 7                       | 3.7    | 9.8    | +6.1   | ❌ |        | 
Enshrouded                     | 46.8   | 26.5   | -20.3  | ❌ |        | 
GRIS                           | 3.6    | 9.3    | +5.8   | ❌ |        | 
Total War: THREE KINGDOMS      | 55.4   | 29.8   | -25.6  | ❌ |        | 
Grounded                       | 33.7   | 25.9   | -7.8   | ⚠️ |        | 
Naruto Shippuden: Ultimate Nin | 35.5   | 14.8   | -20.7  | ❌ | YES    | 
Naruto Shippuden: Ultimate Nin | 9.0    | 21.0   | +12.0  | ❌ | YES    | 
The Outlast Trials             | 14.3   | 11.4   | -2.9   | ⚠️ |        | 
Age of Empires IV              | 28.2   | 29.1   | +0.9   | ✅ |        | 
Green Hell                     | 17.6   | 17.6   | -0.0   | ✅ |        | 
Enter the Gungeon              | 24.2   | 9.4    | -14.8  | ❌ |        | 
Omori                          | 21.7   | 21.7   | +0.0   | ✅ | YES    | 
To The Moon                    | 4.2    | 11.9   | +7.7   | ❌ |        | 
Persona 4 Golden               | 68.0   | 46.5   | -21.5  | ❌ |        | 
Shadow of the Tomb Raider      | 12.9   | 11.4   | -1.5   | ⚠️ |        | 
Manor Lords                    | 11.0   | 26.2   | +15.2  | ❌ |        | 
Armored Core VI: Fires of Rubi | 18.3   | 13.0   | -5.3   | ❌ |        | 
Assassin's Creed Unity         | 17.4   | 26.9   | +9.5   | ❌ |        | 
Getting Over it with Bennett F | 6.6    | 7.6    | +1.0   | ⚠️ |        | 
Stellar Blade                  | 22.5   | 20.3   | -2.2   | ✅ |        | 
Overcooked 2                   | 7.2    | 11.0   | +3.8   | ❌ |        | 
Fallout Shelter                | 19.6   | 12.1   | -7.6   | ❌ |        | 
Star Wars Jedi: Survivor       | 20.7   | 13.0   | -7.7   | ❌ |        | YES
Beat Saber                     | 6.7    | 7.9    | +1.2   | ⚠️ |        | 
Farming Simulator 19           | 117.8  | 14.2   | -103.5 | ❌ |        | 
Hotline Miami 2: Wrong Number  | 8.8    | 8.8    | -0.1   | ✅ |        | 
Hellblade: Senua's Sacrifice   | 7.5    | 8.3    | +0.7   | ✅ |        | 
Dragon Ball FighterZ           | 12.2   | 12.3   | +0.2   | ✅ |        | 
Party Animals                  | 8.8    | 13.5   | +4.7   | ❌ |        | 
Katana Zero                    | 4.8    | 12.0   | +7.2   | ❌ |        | 
Metro: Last Light Redux        | 9.9    | 17.8   | +7.9   | ❌ |        | 
Inside                         | 3.6    | 7.1    | +3.5   | ❌ |        | 
Lies of P                      | 29.1   | 22.2   | -6.9   | ⚠️ |        | YES
BattleBlock Theater            | 10.3   | 8.0    | -2.3   | ⚠️ |        | 
Back 4 Blood                   | 12.1   | 13.3   | +1.3   | ⚠️ |        | 
Dune: Awakening                | 57.5   | 27.0   | -30.5  | ❌ |        | 
Golf With Your Friends         | 6.3    | 8.5    | +2.2   | ❌ |        | 
Pizza Tower                    | 6.5    | 14.5   | +8.0   | ❌ |        | 
Street Fighter 6               | 17.6   | 12.5   | -5.1   | ❌ |        | 
Dragon Ball Sparking! Zero     | 11.2   | 13.2   | +2.0   | ⚠️ |        | 
Wolcen: Lords of Mayhem        | 18.4   | 20.9   | +2.6   | ⚠️ |        | 
Northgard                      | 14.8   | 20.5   | +5.7   | ❌ |        | 
Throne and Liberty             | 90.9   | 24.0   | -66.9  | ❌ |        | 
A Plague Tale: Innocence       | 11.0   | 11.5   | +0.5   | ✅ |        | 
Ghostrunner                    | 7.2    | 11.8   | +4.6   | ❌ |        | 
Dishonored 2                   | 12.9   | 17.8   | +4.9   | ❌ |        | 
GTFO                           | 10.4   | 11.1   | +0.7   | ✅ |        | 
Remnant II                     | 18.3   | 21.5   | +3.3   | ⚠️ |        | YES
Alien: Isolation               | 18.6   | 17.7   | -1.0   | ✅ |        | 
